# CUI ; Name ; SemanticTypes
C0013456 ; Earache ; sosy
C0003467 ; Anxiety ; mobd
C0021368 ; Inflammation ; patf
C0542346 ; Pimples ; patf
C0009676 ; Confusion ; mobd
C0004364 ; Autoimmune disease NOS ; dsyn
C0002453 ; Amenorrhea ; dsyn
C0021359 ; Infertility ; patf
C0227791 ; Vaginal discharge NOS ; fndg
C0232487 ; Abdominal discomfort ; sosy
C0920367 ; Optical coherence tomography ; diap
C0016242 ; Vitreous floaters ; fndg
C0085635 ; Photopsia ; sosy
C0027092 ; Myopia ; dsyn
C0035304 ; Retinal degeneration, NOS ; patf
C0152191 ; Central scotoma ; fndg
C0231337 ; Senility ; fndg
C3665347 ; Visual impairment ; fndg
C0233763 ; Visual hallucinations ; sosy
C0233769 ; Micropsia ; sosy
C0015726 ; Fear ; menp
C0018524 ; Hallucinations ; mobd
C0026827 ; Muscle hypotonia ; fndg
C0004134 ; Ataxia ; sosy
C0009421 ; Comatose ; dsyn
C0019521 ; Hiccup ; fndg
C0023380 ; Lethargy ; sosy
C0026650 ; Movement disorder ; dsyn
C0027066 ; Myoclonus ; sosy
C0029124 ; Optic atrophy NOS ; dsyn
C0003578 ; Apnea ; patf
C0025362 ; Mental retardation NOS ; mobd
C3714756 ; Intellectual disability ; mobd
C0014544 ; Epilepsy ; dsyn
C0234473 ; Jargon aphasia ; mobd
C1510456 ; Wernicke's aphasia ; mobd
C0011991 ; Diarrhea ; sosy
C0266836 ; Infantile colic ; sosy
C0003123 ; Anorexia ; dsyn
C0004398 ; Autopsy ; diap
C0011860 ; Non-insulin-dependent diabetes mellitus ; dsyn
C0043084 ; Weaning ; fndg
C0014130 ; Endocrine system disease, NOS ; dsyn
C0018188 ; Granuloma ; patf
C0020578 ; Hyperventilation ; fndg
C0085383 ; Hypocapnia ; fndg
C0231835 ; Tachypnea ; fndg
C0002063 ; Alkalosis ; dsyn
C0020649 ; Hypotension ; fndg
C0006625 ; Cachexia ; sosy
C0041657 ; Loss of consciousness, NOS ; fndg
C0042963 ; Vomiting ; sosy
C0683369 ; Clouded consciousness ; sosy
C0006277 ; Bronchitis ; dsyn
C0032285 ; Pneumonia ; dsyn
C0034063 ; Pulmonary edema NOS ; dsyn
C0085633 ; Mood swings ; mobd
C0233407 ; Disorientation ; mobd
C0233794 ; Memory impairment ; mobd
C0234421 ; Consciousness, NOS ; menp
C0013516 ; Echocardiography ; diap
C0013798 ; Electrocardiogram ; fndg
C0018021 ; Goiter ; patf
C0233715 ; Speech impairment ; fndg
C0241210 ; Speech delay ; mobd
C0152021 ; Congenital heart disease ; cgab,dsyn
C0424939 ; Learning difficulties ; fndg
C0042825 ; Visual field study ; diap
C0270824 ; Visual epilepsy ; dsyn
C0233652 ; Palinopsia ; mobd
C0233651 ; Perseveration ; mobd
C0009806 ; Constipation ; sosy
C0000729 ; Abdominal cramps ; sosy
C0020615 ; Hypoglycemia ; dsyn
C0020672 ; Decreased body temperature ; fndg
C0012833 ; Dizziness ; sosy
C0027497 ; Nausea ; sosy
C0028643 ; Numbness ; sosy
C0030232 ; Pallor ; fndg
C0038990 ; Sweating ; fndg
C0039070 ; Syncope ; sosy
C0233481 ; Worried ; fndg
C0235108 ; Feeling tense ; sosy
C3887804 ; Feeling upset ; menp
C0011053 ; Deafness ; fndg
C0162298 ; Joint stiffness ; sosy
C0221357 ; Brachydactyly ; cgab,dsyn
C0349588 ; Short stature ; fndg
C0338656 ; Impaired cognition ; mobd
C0010417 ; Cryptorchidism ; cgab
C0018979 ; Hemianopsia ; dsyn
C0018991 ; Hemiplegia ; sosy
C0150088 ; Hemi-neglect ; fndg
C0234507 ; Anosognosia ; dsyn
C0018989 ; Hemiparesis ; sosy
C0521654 ; Neurologic deficit ; fndg
C0278134 ; Absence of sensation ; sosy
C0454578 ; Receptive aphasia (finding) ; mobd
C0002957 ; Anger ; menp
C0008307 ; Cholangiography ; diap
C0016204 ; Flatulence ; sosy
C0751730 ; Anton's syndrome ; dsyn
C0018681 ; Headache ; sosy
C0004339 ; Auscultation ; diap
C0043144 ; Wheezing ; sosy
C0577822 ; Heart sounds abnormal ; fndg
C0006267 ; Bronchiectasis ; dsyn
C0032227 ; Pleural effusion NOS ; dsyn
C0020542 ; Pulmonary hypertension, NOS ; patf
C0036974 ; Shock ; patf
C0012569 ; Diplopia ; fndg
C0015300 ; Exophthalmos ; dsyn
C0019937 ; Horner syndrome ; dsyn
C0242184 ; Hypoxia ; patf
C0029456 ; Osteoporosis ; dsyn
C1956089 ; Osteophyte ; dsyn
C0004604 ; Back pain ; sosy
C0151786 ; Muscle weakness ; sosy
C0575081 ; Gait abnormality ; fndg
C0580173 ; Neurogenic claudication ; fndg
C0023222 ; Pain in lower limb ; sosy
C0024031 ; Low back pain ; sosy
C0392548 ; Cauda equina syndrome NOS ; dsyn
C0700594 ; Radiculopathy ; dsyn
C0011175 ; Dehydration ; dsyn
C0020175 ; Hunger ; sosy
C0221470 ; Aphagia ; fndg
C0917801 ; Sleeplessness ; sosy
C1527305 ; Feelings ; menp
C0030605 ; Activated partial thromboplastin time ; lbpr
C0015967 ; Fever ; fndg
C0007642 ; Cellulitis ; patf
C0027051 ; Myocardial infarction, NOS ; dsyn
C0026838 ; Muscle spasticity ; sosy
C0151889 ; Hyperreflexia ; fndg
C0278131 ; Plantar reflex ; fndg
C0235834 ; Upper motor neurone lesion ; patf
C0200125 ; Nerve conduction study ; diap
C0196622 ; Biopsy of nerve ; diap
C0018808 ; Heart murmur ; fndg
C0013404 ; Dyspnea ; sosy
C0030252 ; Palpitations ; fndg
C0042571 ; Vertigo ; sosy
C0520825 ; Platypnea ; sosy
C1956415 ; Paroxysmal nocturnal dyspnea ; dsyn
C0159028 ; General symptom ; sosy
C0010200 ; Coughing ; sosy
C0019079 ; Hemoptysis ; sosy
C0034735 ; Raynaud phenomenon ; dsyn
C0232265 ; Presystolic murmur ; fndg
C0239598 ; Swelling of finger ; fndg
C0333138 ; Stasis ; patf
C0003811 ; Cardiac arrhythmia ; fndg
C0917996 ; Cerebral aneurysm ; dsyn
C0151740 ; Increased intracranial pressure ; dsyn
C0030554 ; Paresthesia ; dsyn
C0233514 ; Abnormal behavior ; mobd
C0562483 ; Persistent cough ; sosy
C0041582 ; Ulcer ; dsyn
C0333262 ; Vesicle (morphologic abnormality) ; dsyn
C0085639 ; Falls ; fndg
C0237849 ; Peeling of skin ; fndg
C0023890 ; Cirrhosis of liver NOS ; dsyn
C0154209 ; Hyperestrogenism ; dsyn
C0018418 ; Gynecomastia ; dsyn
C0020619 ; Hypogonadism ; dsyn
C0156404 ; Irregular periods ; fndg
C0242350 ; Erectile dysfunction ; dsyn
C0578503 ; Abnormal vaginal bleeding ; fndg
C0015799 ; Feminization ; patf
C0009763 ; Conjunctivitis ; dsyn
C0042109 ; Urticaria ; dsyn
C0476273 ; Respiratory distress ; sosy
C1260880 ; Rhinorrhea ; sosy
C0030646 ; Patch test ; diap
C0010520 ; Cyanosis ; sosy
C0011168 ; Dysphagia, NOS ; dsyn
C0019825 ; Hoarseness ; sosy
C0232132 ; Weak arterial pulse ; fndg
C0014356 ; Enterocolitis ; dsyn
C0018932 ; Hematochezia ; fndg
C0037090 ; Respiratory symptom ; sosy
C0401151 ; Chronic diarrhea ; dsyn
C0022951 ; Lactose intolerance ; dsyn
C0002792 ; Anaphylaxis ; patf
C0039685 ; Tetralogy of Fallot ; cgab
C0332573 ; Macule ; sosy
C0221355 ; Macrocephaly ; cgab
C0020598 ; Hypocalcemia ; dsyn
C0013336 ; Dwarfism ; cgab,dsyn
C0679136 ; Low self-esteem ; fndg
C0200949 ; Blood culture ; lbpr
C0028084 ; Nightmares ; sosy
C0028738 ; Nystagmus ; dsyn
C0035579 ; Rickets ; dsyn
C0221002 ; Primary hyperparathyroidism ; dsyn
C0869474 ; Dyscalculia ; mobd
C0001825 ; Agraphia ; mobd
C0278061 ; Abnormal mental state ; mobd
C0042928 ; Vocal cord paralysis ; dsyn
C0023072 ; Laryngoscopy ; diap
C0751576 ; Vocal cord paresis ; dsyn
C0234233 ; Sore to touch ; sosy
C0234238 ; Ache ; sosy
C0001807 ; Aggressive behavior ; mobd
C0024103 ; Mass in breast ; fndg
C0024671 ; Mammography ; diap
C0004044 ; Asphyxia ; patf
C0376362 ; Purpura hemorrhagica ; dsyn
C0026848 ; Myopathy ; dsyn
C0003886 ; Arthrogryposis ; dsyn
C0037284 ; Skin lesion ; dsyn
C0243026 ; Sepsis ; dsyn
C0007820 ; Cerebrovascular disease NOS ; dsyn
C0236642 ; Pick disease ; dsyn
C0032743 ; Positron emission tomography ; diap
C0040399 ; Single photon emission computed tomography ; diap
C0025289 ; Meningitis ; dsyn
C0036690 ; Septicemia ; dsyn
C0392171 ; Influenza-like symptoms ; sosy
C0029443 ; Osteomyelitis ; dsyn
C1442903 ; Exostosis NOS ; patf
C0334044 ; Dysplasia ; patf
C0019209 ; Hepatomegaly ; sosy
C0020541 ; Portal hypertension ; dsyn
C0162770 ; Right ventricular hypertrophy ; dsyn
C0025637 ; Methemoglobinemia ; dsyn
C0018798 ; Congenital heart defect ; cgab
C0035021 ; Relapsing fever NOS ; dsyn
C0022346 ; Icterus ; patf
C0025874 ; Metrorrhagia ; patf
C0009319 ; Colitis ; dsyn
C0221629 ; Proximal muscle weakness ; fndg
C0427065 ; Distal muscle weakness ; fndg
C0015674 ; Chronic fatigue syndrome ; dsyn
C0427008 ; Stiffness ; sosy
C0021099 ; Impetigo ; dsyn
C0024523 ; Malabsorption syndrome NOS ; dsyn
C0239978 ; Increased frequency of defecation ; fndg
C0473237 ; Frank hematuria ; fndg
C0040822 ; Tremor ; sosy
C0699744 ; Infection of ear ; dsyn
C0021390 ; Inflammatory bowel disease, NOS ; dsyn
C0024032 ; Low birth weight ; fndg
C0424594 ; Frailty ; fndg
C0016059 ; Fibrosis ; patf
C0026846 ; Muscular atrophy ; patf
C0026961 ; Mydriasis ; sosy
C0235267 ; Redness of eye ; sosy
C0001916 ; Albinism ; cgab
C0030305 ; Pancreatitis ; dsyn
C0242966 ; Systemic inflammatory response syndrome ; dsyn
C0233800 ; Confabulation ; mobd
C0001973 ; Alcohol dependence ; mobd
C0011253 ; Delusions ; mobd
C0014038 ; Encephalitis ; dsyn
C0221505 ; Lesion of brain ; dsyn
C0231471 ; Abnormal posture ; fndg
C0686347 ; Tardive dyskinesia ; dsyn
C0013421 ; Dystonia ; sosy
C0026837 ; Muscle rigidity ; sosy
C0151818 ; Opisthotonus ; sosy
C0233565 ; Bradykinesia ; sosy
C0427086 ; Involuntary movement ; sosy
C0030318 ; Panic ; fndg
C0043352 ; Xerostomia ; dsyn
C0085631 ; Agitation ; sosy
C0425481 ; Sighing respiration ; sosy
C0035143 ; Repression ; menp
C1269683 ; Major depressive disorder ; mobd
C0231274 ; Intolerant of heat ; patf
C0018379 ; Guilt ; menp
C0043345 ; Xeroderma ; dsyn
C0013819 ; Electroencephalography ; diap
C0427108 ; General unsteadiness ; fndg
C0423898 ; Intellectual ability ; fndg
C0020443 ; Hypercholesterolemia ; dsyn
C0033687 ; Proteinuria ; fndg
C0239981 ; Hypoalbuminemia ; dsyn
C0042384 ; Vasculitis ; dsyn
C0036980 ; Cardiogenic shock ; patf
C0027726 ; Nephrotic syndrome NOS ; dsyn
C0008925 ; Cleft palate NOS ; cgab,dsyn
C0020305 ; Hydrops fetalis, NOS ; dsyn
C0595939 ; Stillbirth ; fndg
C1145670 ; Respiratory failure, NOS ; dsyn
C0020534 ; Orbital separation excessive ; cgab
C0151827 ; Eye pain ; sosy
C0271197 ; Paracentral scotoma ; fndg
C0027429 ; Nasal obstruction ; fndg
C0014591 ; Epistaxis ; patf
C0023182 ; Cerebrospinal fluid leak ; dsyn
C0020452 ; Hyperemia ; dsyn
C0013363 ; Dysautonomia ; dsyn
C0039231 ; Tachycardia ; patf
C0020580 ; Hypesthesia ; fndg
C0239783 ; Inguinal pain ; sosy
C0547030 ; Visual disturbance ; sosy
C0013144 ; Drowsiness ; fndg
C0022107 ; Irritable mood ; fndg
C0155320 ; Cortical blindness ; dsyn
C0231530 ; Muscle twitch ; fndg
C0242225 ; Color blindness ; dsyn
C0085628 ; Stupor ; mobd
C0015544 ; Failure to thrive ; dsyn
C1443924 ; Severe diarrhea ; sosy
C0030247 ; Palpation ; diap
C0184567 ; Acute onset pain ; sosy
C0015644 ; Muscular fasciculation ; sosy
C0232197 ; Fibrillation ; dsyn
C0151888 ; Hyporeflexia ; fndg
C0007758 ; Cerebellar ataxia NOS ; sosy
C0392674 ; Exhaustion ; sosy
C0023787 ; Lipodystrophy ; dsyn
C0020557 ; Hypertriglyceridemia ; dsyn
C0029118 ; Opportunistic infectious disease, NOS ; dsyn
C0518014 ; Hematocrit ; fndg
C0430414 ; Stool culture ; lbpr
C0025297 ; Viral meningitis ; dsyn
C0853698 ; Lymphocytosis ; fndg
C0036973 ; Shivering ; fndg
C0085684 ; Foot-drop ; dsyn
C0311394 ; Difficulty walking ; fndg
C0392699 ; Dysesthesia ; sosy
C0016313 ; Fluorescein angiography ; diap
C0018786 ; Hearing test ; diap
C0040264 ; Tinnitus ; fndg
C2717757 ; Susac syndrome ; dsyn
C1456784 ; Paranoia ; mobd
C0260662 ; Hearing problem ; dsyn
C0150041 ; Feeling hopeless ; mobd
C0042815 ; Visual analog pain scale ; diap
C0338831 ; Manic ; mobd
C0233681 ; Grandiose delusions ; mobd
C0241934 ; Hypomania ; fndg
C0242422 ; Parkinsonism, NOS ; dsyn
C0085632 ; Apathy ; sosy
C0235146 ; Euphoria ; menp
C0233477 ; Dysphoric mood ; mobd
C0312420 ; Hypersexuality state ; mobd
C0024003 ; Lordosis ; fndg
C0006325 ; Bruxism ; mobd
C0019123 ; Hemothorax ; patf
C0013369 ; Dysentery ; dsyn
C0086439 ; Hypokinesia ; sosy
C0423224 ; Sunken eyes ; fndg
C1260922 ; Abnormal breathing ; fndg
C0231528 ; Myalgia ; sosy
C0392386 ; Decreased platelet count ; fndg
C0149720 ; Abuse of laxatives ; mobd
C0751295 ; Loss of memory ; sosy
C0007286 ; Carpal tunnel syndrome ; dsyn
C0008489 ; Chorea ; dsyn
C0031117 ; Peripheral neuropathy, NOS ; dsyn
C0011603 ; Dermatitis ; dsyn
C0275547 ; Balanitis circinata ; dsyn
C0232861 ; Discharge from penis ; sosy
C0002170 ; Alopecia ; dsyn
C0020440 ; Hypercapnia ; fndg
C0392701 ; Giddiness ; sosy
C0312422 ; Blackout ; sosy
C0234447 ; Narcosis ; mobd
C0041667 ; Underweight ; fndg
C0151908 ; Dry skin ; sosy
C0020651 ; Orthostatic hypotension ; fndg
C0029453 ; Osteopenia ; dsyn
C0013146 ; Drug abuse ; mobd
C0428977 ; Bradycardia ; patf
C0006370 ; Bulimia ; mobd
C0017547 ; Gigantism ; dsyn
C0042950 ; Volition ; menp
C0242880 ; Tilt table test ; diap
C0151602 ; Facial swelling ; fndg
C0430568 ; Oral provocation test ; diap
C0017178 ; Gastrointestinal disorder, NOS ; dsyn
C0152020 ; Gastroparesis ; dsyn
C0020450 ; Hyperemesis gravidarum ; sosy
C0312416 ; Morning sickness ; sosy
C0026603 ; Motion sickness NOS ; dsyn
C0021847 ; Pseudo-obstruction of intestine ; dsyn
C0151824 ; Biliary colic ; dsyn
C0520905 ; Postoperative vomiting ; sosy
C0041948 ; Uremia ; dsyn
C0021843 ; Intestinal obstruction NOS ; dsyn
C0030353 ; Papilledema ; dsyn
C1258215 ; Ileus ; dsyn
C0020255 ; Hydrocephalus ; dsyn
C0600104 ; Obsessive compulsive behavior ; mobd
C0151811 ; Subcutaneous nodule ; patf
C0018051 ; Gonadal dysgenesis NOS ; cgab,dsyn
C0011124 ; Decreased libido ; sosy
C0034642 ; Rales ; sosy
C0151825 ; Bone pain ; sosy
C0010481 ; Cushing's syndrome NOS ; dsyn
C1579931 ; Depressed - symptom ; sosy
C0002418 ; Amblyopia ; dsyn
C0038379 ; Strabismus ; dsyn
C0006153 ; Breath test ; diap
C0035222 ; Adult respiratory distress syndrome, NOS ; dsyn
C0008073 ; Developmental disorder ; mobd
C0314719 ; Dryness of eye ; sosy
C0013238 ; Dry eye syndrome ; dsyn
C0022575 ; Keratoconjunctivitis sicca ; dsyn
C0152227 ; Excessive tearing ; dsyn
C0423153 ; Lacrimation ; fndg
C0005741 ; Blepharitis ; dsyn
C0004095 ; Asthenopia ; dsyn
C0423742 ; Pain on intercourse ; fndg
C0149721 ; Left ventricular hypertrophy ; dsyn
C0206054 ; Transesophageal echocardiography ; diap
C0085532 ; Coronary angiography ; diap
C0412618 ; Cardiac CT ; diap
C0042029 ; Urinary tract infection ; dsyn
C0013428 ; Dysuria ; sosy
C0042023 ; Increased frequency of micturition ; fndg
C0032914 ; Pre-eclampsia NOS ; patf
C0239234 ; Low set ears ; cgab
C0004096 ; Asthma ; dsyn
C0023066 ; Laryngismus ; dsyn
C0037315 ; Sleep apnea syndrome ; dsyn
C0013911 ; Emaciation ; sosy
C0425465 ; Pursed-lip breathing ; fndg
C0086769 ; Panic attack ; mobd
C0494853 ; Erythema ab igne ; dsyn
C0038002 ; Splenomegaly ; fndg
C0333106 ; Bleeding varices ; patf
C0344323 ; Flashing ; mobd
C0085584 ; Encephalopathy, NOS ; dsyn
C0240735 ; Personality change ; sosy
C0037383 ; Sneezing ; fndg
C0022281 ; Itching of eye ; fndg
C0033038 ; Premature ejaculation ; patf
C0232488 ; Abdominal colic ; fndg
C0032976 ; Pregnancy test ; diap
C0242172 ; Pelvic inflammatory disease NOS ; dsyn
C0014868 ; Esophagitis ; dsyn
C0017152 ; Gastritis ; dsyn
C0023518 ; Leukocytosis ; patf
C0203071 ; Gastric emptying study ; diap
C0232602 ; Retching ; sosy
C0022660 ; Acute renal failure NOS ; dsyn
C0554309 ; Prerenal uremia syndrome ; dsyn
C0023974 ; Loneliness ; fndg
C0020676 ; Hypothyroidism ; dsyn
C0152030 ; Skin irritation ; fndg
C0006019 ; Boredom ; menp
C0478664 ; Localized enlarged lymph nodes ; patf
C0424576 ; Fit and well ; fndg
C0497406 ; Overweight ; sosy
C0234369 ; Trembling ; sosy
C0221170 ; Muscular stiffness ; sosy
C0031545 ; Venography - procedure ; diap
C0011206 ; Delirium ; mobd
C1565489 ; Impaired renal function ; dsyn
C0206081 ; Hyperandrogenism ; dsyn
C0037199 ; Sinusitis ; dsyn
C0162676 ; Enzyme-multiplied immunoassay technique ; lbpr
C0085595 ; Body odor ; fndg
C0018520 ; Halitosis ; sosy
C0263472 ; Bromhidrosis ; dsyn
C0013378 ; Dysgeusia ; fndg
C0003126 ; Anosmia ; sosy
C0013595 ; Eczema ; dsyn
C0577027 ; Stomach problem ; fndg
C0015457 ; Facial expression ; fndg
C0740858 ; Substance abuse ; mobd
C0004444 ; Avoidant personality disorder ; mobd
C0011251 ; Delusional disorder ; mobd
C0006111 ; Disease of brain ; dsyn
C0021051 ; Unspecified immunity deficiency ; dsyn
C0596170 ; Binge eating disorder ; mobd
C0003860 ; Arteritis ; patf
C0302295 ; Eruption ; patf
C0233762 ; Auditory hallucinations ; sosy
C0013395 ; Dyspepsia ; sosy
C0014724 ; Eructation ; sosy
C0232492 ; Upper abdominal pain ; sosy
C0474585 ; Feces color: tarry ; sosy
C0152458 ; Leukocoria ; dsyn
C0037384 ; Snoring ; sosy
C0427055 ; Facial paresis ; sosy
C0236018 ; Aura ; fndg
C0233771 ; Macropsia ; fndg
C0085636 ; Photophobia ; sosy
C0006664 ; Calcinosis cutis ; dsyn
C0870082 ; Hyperkeratosis ; dsyn
C0023653 ; Lichenification ; patf
C0162834 ; Hyperpigmentation ; patf
C0001925 ; Albuminuria ; fndg
C0003962 ; Ascites ; fndg
C0268000 ; Body fluid retention ; patf
C0042880 ; Vitamin K deficiency ; dsyn
C0398650 ; Immune thrombocytopenic purpura ; dsyn
C0013491 ; Ecchymosis ; patf
C0085128 ; Increased cardiac output ; fndg
C0427184 ; No incoordination ; fndg
C0494475 ; Tonic-clonic seizures ; dsyn
C0600142 ; Hot flushes ; sosy
C0042755 ; Virilism ; patf
C0282160 ; Aplasia cutis congenita ; cgab,dsyn
C0917799 ; Hypersomnia ; dsyn
C0220726 ; Diastrophic dysplasia ; cgab,dsyn
C0851578 ; Sleep disorders ; dsyn
C0011334 ; Dental caries ; dsyn
C1142436 ; Sundowning ; mobd
C0232466 ; Feeding problem NOS ; fndg
C0221512 ; Stomach ache ; sosy
C0232720 ; Pale feces (finding) ; fndg
C0426396 ; Urine looks dark ; sosy
C0006663 ; Calcinosis ; patf
C0086565 ; Abnormal hepatic function ; patf
C0034152 ; Henoch-Schoenlein purpura ; dsyn
C0032231 ; Pleurisy ; dsyn
C0043094 ; Weight gain ; fndg
C0235066 ; Peripheral scotoma ; fndg
C0155002 ; Sudden visual loss ; sosy
C0220981 ; Metabolic acidosis ; patf
C0751265 ; Learning disability ; mobd
C0031873 ; Abnormal craving ; mobd
C0151763 ; Liver damage ; patf
C0079304 ; Esophagogastroduodenoscopy ; diap
C0201811 ; Fecal occult blood test ; lbpr
C0025222 ; Melena ; patf
C0031350 ; Pharyngitis ; dsyn
C0035455 ; Rhinitis ; dsyn
C0877046 ; Infection of tooth ; dsyn
C0152113 ; Rheumatic chorea NOS ; dsyn
C0014394 ; Enuresis ; sosy
C0021167 ; Incontinence ; dsyn
C0016053 ; Fibromyalgia ; dsyn
C0235162 ; Difficulty sleeping ; sosy
C0235309 ; Upset stomach ; sosy
C0040188 ; Tic disorder ; mobd
C0037320 ; Night terrors ; mobd
C0038131 ; Stammering ; mobd
C0038506 ; Stuttering ; mobd
C0270327 ; Bedwetting ; mobd
C0006290 ; Bronchoscopy ; diap
C0558489 ; Renal pain ; sosy
C0024312 ; Lymphopenia ; dsyn
C0038363 ; Aphthous stomatitis ; dsyn
